REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
3/29/2016 9:03:59 AM,DAY,THEFT F/AUTO,OTHERS,900 - 999 BLOCK OF 55TH STREET NE,6,608,7,7C,Cluster 31,007807 1,007807,Precinct 95,16047973,406891,136981,3/29/2016 8:06:54 AM,3/29/2016 9:03:46 AM
4/6/2016 1:06:45 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,2800 - 2899 BLOCK OF ERIE STREET SE,6,606,7,7B,Cluster 35,007603 4,007603,Precinct 113,16052423,402904,132166,4/4/2016 1:00:47 AM,4/5/2016 7:35:47 PM
4/5/2016 9:13:43 PM,EVENING,THEFT/OTHER,OTHERS,3700 - 3761 BLOCK OF MINNESOTA AVENUE NE,6,603,7,7F,Cluster 32,009603 2,009603,Precinct 102,16052443,404167,135943,4/5/2016 7:27:58 PM,4/5/2016 8:02:13 PM
4/5/2016 11:16:04 PM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,4900 - 4915 BLOCK OF JAY STREET NE,6,608,7,7C,Cluster 31,007809 1,007809,Precinct 94,16052540,405967,137071,4/5/2016 10:06:59 PM,4/5/2016 11:16:03 PM
4/6/2016 3:41:34 AM,MIDNIGHT,ROBBERY,GUN,4700 - 4723 BLOCK OF QUARLES STREET NE,6,602,7,7D,Cluster 31,009601 1,009601,Precinct 92,16052571,405755,138027,4/5/2016 11:00:30 PM,4/5/2016 11:05:07 PM
4/1/2016 11:12:33 PM,MIDNIGHT,THEFT F/AUTO,OTHERS,1400 - 1425 BLOCK OF EASTERN AVENUE NE,6,602,7,7C,Cluster 31,007806 1,007806,Precinct 93,16050227,406073,137906,4/1/2016 7:00:51 PM,4/1/2016 9:45:03 PM
4/2/2016 12:26:15 AM,MIDNIGHT,BURGLARY,OTHERS,3800 - 3899 BLOCK OF BAY LANE SE,6,603,7,7F,Cluster 32,007703 2,007703,Precinct 103,16050284,404338,135508,4/1/2016 10:15:49 PM,4/2/2016 12:26:14 AM
4/10/2016 1:46:18 PM,DAY,THEFT/OTHER,OTHERS,3500 - 3599 BLOCK OF A STREET SE,6,603,7,7F,Cluster 32,007708 1,007708,Precinct 132,16055176,403908,135661,4/8/2016 9:00:05 PM,4/9/2016 6:00:09 PM
4/10/2016 5:25:03 PM,EVENING,THEFT/OTHER,OTHERS,4020 - 4051 BLOCK OF LEE STREET NE,6,601,7,7D,Cluster 29,009601 1,009601,Precinct 92,16055268,404725,137367,4/10/2016 4:35:02 PM,4/10/2016 5:10:44 PM
4/3/2016 7:00:36 PM,EVENING,THEFT F/AUTO,OTHERS,810 - 835 BLOCK OF EASTERN AVENUE NE,6,608,7,7C,Cluster 31,007807 1,007807,Precinct 95,16051299,407062,136915,4/3/2016 6:01:00 PM,4/3/2016 7:00:34 PM
4/13/2016 8:00:20 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,800 - 899 BLOCK OF 44TH STREET NE,6,602,7,7D,Cluster 31,007809 2,007809,Precinct 94,16056385,405274,137035,4/11/2016 8:00:56 PM,4/12/2016 1:30:21 PM
4/12/2016 7:12:01 PM,EVENING,THEFT/OTHER,OTHERS,100 - 139 BLOCK OF KENILWORTH AVENUE NE,6,601,7,7D,Cluster 32,009604 1,009604,Precinct 101,16056444,403653,135879,4/12/2016 2:49:02 PM,4/12/2016 2:55:25 PM
4/6/2016 6:10:25 AM,MIDNIGHT,ROBBERY,GUN,1200 - 1299 BLOCK OF 44TH PLACE SE,6,604,7,7E,Cluster 33,007707 2,007707,Precinct 106,16052622,405569,134209,4/6/2016 5:05:27 AM,4/6/2016 6:10:24 AM
4/6/2016 12:20:25 PM,DAY,THEFT/OTHER,OTHERS,5000 - 5099 BLOCK OF D STREET SE,6,604,7,7E,Cluster 33,009904 2,009904,Precinct 104,16052742,406088,135110,4/5/2016 4:28:01 PM,4/5/2016 4:40:16 PM
4/14/2016 5:08:55 PM,EVENING,THEFT/OTHER,OTHERS,934 - 1099 BLOCK OF EASTERN AVENUE NE,6,608,7,7C,Cluster 31,007807 2,007807,Precinct 95,16057752,406683,137294,4/14/2016 4:11:22 PM,4/14/2016 5:08:54 PM
