2016-03-01,19
2016-03-02,28
2016-03-03,17
2016-03-04,10
2016-03-05,9
2016-03-06,11
2016-03-07,17
2016-03-08,12
2016-03-09,14
2016-03-10,13
2016-03-11,19
2016-03-12,14
2016-03-13,11
2016-03-14,18
2016-03-15,12
2016-03-16,25
2016-03-17,16
2016-03-18,25
2016-03-19,14
2016-03-20,19
2016-03-21,20
2016-03-22,13
2016-03-23,15
2016-03-24,23
2016-03-25,22
2016-03-26,24
2016-03-27,16
2016-03-28,24
2016-03-29,15
2016-03-30,31
2016-03-31,13
2016-04-01,12
2016-04-02,19
2016-04-03,10
2016-04-04,3
2016-04-05,5
2016-04-06,13
2016-04-07,7
2016-04-08,16
2016-04-09,21
2016-04-10,18
2016-04-11,17
2016-04-12,18
2016-04-13,14
2016-04-14,15
2016-04-15,21
2016-04-16,24
2016-04-17,15
2016-04-18,16
2016-04-19,22
2016-04-20,19
2016-04-21,22
2016-04-22,15
2016-04-23,18
2016-04-24,12
2016-04-25,18
2016-04-26,23
2016-04-27,25
2016-04-28,23
2016-04-29,20
2016-04-30,16
2016-05-01,14
2016-05-02,26
2016-05-03,14
2016-05-04,15
2016-05-05,20
2016-05-06,16
2016-05-07,10
2016-05-08,23
2016-05-09,15
2016-05-10,18
2016-05-11,18
2016-05-12,20
2016-05-13,17
2016-05-14,15
2016-05-15,21
2016-05-16,23
2016-05-17,20
2016-05-18,14
2016-05-19,25
2016-05-20,14
2016-05-21,20
2016-05-22,18
2016-05-23,22
2016-05-24,23
2016-05-25,14
2016-05-26,17
2016-05-27,17
2016-05-28,14
2016-05-29,20
2016-05-30,17
2016-05-31,23
2016-06-01,14
