2016-03-01,DAY,5
2016-03-01,EVENING,9
2016-03-01,MIDNIGHT,5
2016-03-02,DAY,6
2016-03-02,EVENING,14
2016-03-02,MIDNIGHT,8
2016-03-03,DAY,6
2016-03-03,EVENING,9
2016-03-03,MIDNIGHT,2
2016-03-04,DAY,3
2016-03-04,EVENING,6
2016-03-04,MIDNIGHT,1
2016-03-05,DAY,2
2016-03-05,EVENING,2
2016-03-05,MIDNIGHT,5
2016-03-06,DAY,5
2016-03-06,EVENING,5
2016-03-06,MIDNIGHT,1
2016-03-07,DAY,4
2016-03-07,EVENING,11
2016-03-07,MIDNIGHT,2
2016-03-08,DAY,3
2016-03-08,EVENING,2
2016-03-08,MIDNIGHT,7
2016-03-09,DAY,8
2016-03-09,EVENING,4
2016-03-09,MIDNIGHT,2
2016-03-10,DAY,6
2016-03-10,EVENING,4
2016-03-10,MIDNIGHT,3
2016-03-11,DAY,8
2016-03-11,EVENING,10
2016-03-11,MIDNIGHT,1
2016-03-12,DAY,4
2016-03-12,EVENING,6
2016-03-12,MIDNIGHT,4
2016-03-13,DAY,4
2016-03-13,EVENING,4
2016-03-13,MIDNIGHT,3
2016-03-14,DAY,8
2016-03-14,EVENING,8
2016-03-14,MIDNIGHT,2
2016-03-15,DAY,4
2016-03-15,EVENING,7
2016-03-15,MIDNIGHT,1
2016-03-16,DAY,11
2016-03-16,EVENING,9
2016-03-16,MIDNIGHT,5
2016-03-17,DAY,5
2016-03-17,EVENING,5
2016-03-17,MIDNIGHT,6
2016-03-18,DAY,10
2016-03-18,EVENING,11
2016-03-18,MIDNIGHT,4
2016-03-19,DAY,3
2016-03-19,EVENING,8
2016-03-19,MIDNIGHT,3
2016-03-20,DAY,5
2016-03-20,EVENING,7
2016-03-20,MIDNIGHT,7
2016-03-21,DAY,8
2016-03-21,EVENING,10
2016-03-21,MIDNIGHT,2
2016-03-22,DAY,3
2016-03-22,EVENING,9
2016-03-22,MIDNIGHT,1
2016-03-23,DAY,7
2016-03-23,EVENING,7
2016-03-23,MIDNIGHT,1
2016-03-24,DAY,10
2016-03-24,EVENING,8
2016-03-24,MIDNIGHT,5
2016-03-25,DAY,13
2016-03-25,EVENING,6
2016-03-25,MIDNIGHT,3
2016-03-26,DAY,6
2016-03-26,EVENING,11
2016-03-26,MIDNIGHT,7
2016-03-27,DAY,4
2016-03-27,EVENING,8
2016-03-27,MIDNIGHT,4
2016-03-28,DAY,12
2016-03-28,EVENING,6
2016-03-28,MIDNIGHT,6
2016-03-29,DAY,5
2016-03-29,EVENING,9
2016-03-29,MIDNIGHT,1
2016-03-30,DAY,12
2016-03-30,EVENING,11
2016-03-30,MIDNIGHT,8
2016-03-31,DAY,8
2016-03-31,EVENING,4
2016-03-31,MIDNIGHT,1
2016-04-01,DAY,5
2016-04-01,EVENING,5
2016-04-01,MIDNIGHT,2
2016-04-02,DAY,8
2016-04-02,EVENING,9
2016-04-02,MIDNIGHT,2
2016-04-03,DAY,4
2016-04-03,EVENING,5
2016-04-03,MIDNIGHT,1
2016-04-04,DAY,1
2016-04-04,EVENING,2
2016-04-05,DAY,2
2016-04-05,EVENING,2
