PSA,COUNT,RELATIVE
605,0.082174962912837435,-1.9801141411188934
308,0.17912281520935369,-0.89283586230041134
607,0.07338020189712155,-1.6452614214130574
606,0.088577393909668706,-1.5070880489171214
601,0.21299957600628555,-0.86412783613274446
603,0.54486132810125076,-0.30726352702885479
604,0.63931773859250041,-0.32357008992028041
704,0.43128904737975204,-0.4508891530095604
705,0.10426062785633444,-1.3015769523834739
706,0.450583630801281,-0.31373387159180632
707,0.081101917675303059,-1.9238628357313907
608,0.37741086866097495,-0.38828604636423392
702,0,0
703,0.19463051188670843,-1.0804378407283677
708,0,0
602,0.24947803252257447,-0.95300259486540462
407,0.1424397584766158,-1.8210213113186495
406,0.078460259455045256,-1.7603509129555515
405,0.70409051977976977,-0.56138757915821413
404,0.55316465739585485,-0.36113200677358792
403,1.2106600329296491,0.29332359605143765
402,0.2559427344630924,-1.1201051467034517
401,0.22115326832988294,-1.1949908720904183
301,0.11306468284801438,-1.8822761171759175
506,0.31745538799487705,-0.48790736335311147
507,0.52724571816206312,-0.38370571157321276
504,0.097360347935990119,-1.5615787021243706
505,0.11476905894797325,-1.2128735899636665
502,0.60623981433734031,-0.21168244605061343
503,0.30276305664388203,-0.79446065341807581
409,0.15376378627694293,-1.4927946591812638
501,0.30383806560467841,-0.64343268066708115
201,0.11320223584897406,-2.1301445724051846
203,0,0
202,0.08300705099744074,-2.2638433927538881
205,0,0
204,0,0
207,1.5587869711944418,0.3067997998809856
206,0.25156494425484927,-1.4793229390079401
208,0.765991680350814,-0.4402643964225823
302,1.3858745714145873,0.46287253077107537
303,0.54840755259731522,-0.64732391718501159
304,0.31219729190777568,-0.95612269773094338
305,0.11799192329801601,-1.2552952419012759
306,0.048688462887282763,-1.7922976101870378
307,0.51303057568112742,-0.46041301240293997
108,0.46811513139686894,-0.76732650382316892
102,0.045226937547896889,-2.1847925701111301
103,0.090064487655765607,-1.3660917247571724
101,0.0055619863992393357,-2.3799562974708866
106,0.10307886931944669,-1.6928528129984857
107,0.26175351656116186,-1.3803882692073515
104,0.71077616010173605,-0.067440630836385268
105,0.37966470939807628,-0.71675315947103457
701,1.1449224123279669,0.54049689154818337
408,0.11614346248082748,-1.7992232861662472
