PSA,COUNT,RELATIVE
605,0.1721659351830104,-1.5170645453953491
308,0.39398894056609768,-0.38114319931583412
607,0.16309178508677544,-1.1231609379431498
606,0.14057491106273617,-1.3217826919487967
601,0.22644585331170758,-1.0794706403748284
603,1.6456253908994671,0.52152243509117802
604,2.3826631638162747,0.71544396603136873
704,0.35225472121803331,-0.92987159541702802
705,0.17963539579555088,-1.0341000232463715
706,0.19239132273475018,-1.4413046215194725
707,0.15960631710372181,-1.5234176645349062
608,0.39591920684891091,-0.6169687975707191
702,0,0
703,0.37768283683467868,-0.69404449084073883
708,0,0
602,0.45380899198311309,-0.63125556040346675
407,0.27909269558034783,-1.4249549924804139
406,0.34753453855926164,-0.54863759620615882
405,0.94503352392006013,-0.54363259160420074
404,0.50377899219959188,-0.73120853982732181
403,1.153232953113587,-0.031831322088120312
402,0.71398488313506592,-0.37075556985375063
401,0.39906992419424703,-0.88126869217805726
301,0.23856386368765803,-1.412157627179744
506,0.48097797450582397,-0.34898167078499426
507,1.7738503938383161,0.55297692958537659
504,0.18076426329305864,-1.2193624420924325
505,0.37776072319814791,-0.2980930156222244
502,0.55887974734314483,-0.5695822453199284
503,0.37827810499775166,-0.84833999635951807
409,1.7792183237400057,0.67915868694480763
501,0.37756875472708368,-0.70273336461813429
201,0.1890125229280023,-1.8940657047854177
203,0,0
202,0.47811797612983647,-0.78946992192630749
205,0,0
204,0,0
207,2.5973219937071055,0.54081428821829358
206,2.0167456671136956,0.32565782526558462
208,1.1582649270733236,-0.3033157803536069
302,0.84150603191769524,-0.31257945364246337
303,0.73300309401702946,-0.63375120116022143
304,2.1203379754632152,0.68301425856256759
305,0.3880340760238154,-0.34137674405995028
306,0.13026946882136464,-1.0846930555642005
307,1.1053984414971654,0.030654184750420699
108,0.92596326899332693,-0.3617646964318289
102,0.14651838494359862,-1.285893015036889
103,0.15933676637912203,-1.0721561653406453
101,0.012437656584511925,-1.8517414030974544
106,0.31236618083058637,-0.86072956087270058
107,0.68196150632852215,-0.69937682699252313
104,1.0019170530870229,-0.00068617738909071413
105,0.93076668532941798,-0.096591526891480511
701,4.7782816966282411,1.692682535946735
408,0.24297314703170084,-1.337657014698403
