PSA,COUNT,VARIANCE,RELATIVE
605,0.50275007715938091,1.5531770891348637,-0.16887162722238497
308,0.33739054109460426,1.5560847313881219,-0.25966641633154075
607,0.27161745691618278,1.5569982755914444,-0.33652092374903186
606,0.26004776736258045,1.5617376645036507,-0.43009939145976006
601,0.2938225896723724,1.5669046178521109,-0.54244186255029225
603,1.8749624198457926,1.5342022681319445,0.92854904998988785
604,1.8508912868550265,1.5326930911660799,0.73945091452666456
704,1.1682849012107557,1.5388166199130171,0.5456243940085439
705,0.19194038750099804,1.574512620671962,-0.69128591167767384
706,0.63665692251459638,1.5464560127502949,0.031953355934865771
707,0.34625904187499978,1.5634097225043526,-0.47238227150557999
608,0.43456284165392806,1.5541483757748467,-0.24727991360674728
702,0.41348473085691534,1.5520089393541177,-0.14499627531420764
703,0.79493629304716307,1.5399330266496394,0.32672118588173049
708,0.80849481970540193,1.5449676765362075,0.10068500848459352
602,0.80106729019115219,1.5424991259286225,0.2135714910901905
407,1.3012510590084252,1.5392404698845257,0.39114095965627116
406,0.24146602406138701,1.5719566058319909,-0.63621438449746215
405,1.8625674133062424,1.5378096513634523,0.41141663837916043
404,1.3110528407010178,1.5375197259326301,0.50179807164423962
403,1.0316411637367076,1.5424281281257772,0.13330880044077431
402,0.62757339278384638,1.5530589717469185,-0.22319824787805803
401,0.58400847687292889,1.5528282383993182,-0.22393135717144014
301,0.86691996719058551,1.5427356094051918,0.1547104757685267
506,0.67326280696551533,1.5411230729581002,0.26389109254986631
507,1.8800223355785262,1.5347516123816798,0.88766652655834388
504,0.24720680686968194,1.5693986897768231,-0.62977246341796844
505,0.22049175587031306,1.5658534189777216,-0.55993521031791804
502,0.91849009884764787,1.5406267341765529,0.20377303783124348
503,0.64728591288764858,1.5469122397754169,-0.034623059304006915
409,1.1539516816474116,1.5383770748992243,0.52273534717862602
501,0.44215911897683857,1.5555391555161675,-0.26825774623826537
201,1.0377289171695656,1.5445648223341775,0.085469381526519533
203,1.5121263461394585,1.5413817050882768,0.25677922304082967
202,0.85993056948831925,1.5448322676810033,0.074082704116657211
205,1.6013417867988045,1.5402968457208071,0.2331798168748144
204,2.3109078395512284,1.5378760625785683,0.34553704547993402
207,2.090014226715708,1.5351211474587336,0.60006273665589993
206,1.3572953922026449,1.5415566182292755,0.20622519360595018
208,4.6456993195063543,1.527347986107916,1.3622614881493986
302,1.3557959820523857,1.5378856398253529,0.44092985339834745
303,3.1934416772958798,1.5299000286123319,1.1145118730556085
304,0.71193122114191654,1.5517916408609098,-0.13177672432612095
305,0.47860601376615008,1.5415354713995801,0.14496632332630299
306,0.12306215442335515,1.5850479830685427,-0.86505016225535258
307,1.51985438104641,1.5337270506491754,0.62562134979267636
108,1.4717692876828508,1.539011035451658,0.3781797763494128
102,0.19522989403824192,1.571397293578684,-0.72230763494156736
103,0.1704525269868061,1.5747438880603963,-0.72816084415261262
101,0,0,0
106,0.41409751624746355,1.5560936002033066,-0.30224573718091952
107,1.3467764463297467,1.5396495834347961,0.25767764483994737
104,0.85424526725644923,1.5437447717633135,0.11642016372368647
105,0.72948667487291641,1.5489582955002317,-0.063700577321637059
701,0.68079048109274654,1.5482576555093206,0.020659335232524847
408,0.5580888094386135,1.5546888319569105,-0.22953135223995547
