PSA,COUNT,VARIANCE,RELATIVE
605,0.78487407945882148,1.0000000000000001e-15,0.0
308,0.57678295732292861,1.0000000000000001e-15,0.0
607,0.50143504569375363,1.0000000000000001e-15,0.0
606,0.52717007184830722,1.0000000000000001e-15,0.0
601,0.6664575845390357,1.0000000000000001e-15,0.0
603,0.97686975568235712,1.0000000000000001e-15,0.0
604,1.1650626617230715,1.0000000000000001e-15,0.0
704,0.89267819245585711,1.0000000000000001e-15,0.0
705,0.50523781588136429,1.0000000000000001e-15,0.0
706,0.81308532805917855,1.0000000000000001e-15,0.0
707,0.73225435244092862,1.0000000000000001e-15,0.0
608,0.73375777321150004,1.0000000000000001e-15,0.0
702,0.63028704950060721,1.0000000000000001e-15,0.0
703,0.75604377524235711,1.0000000000000001e-15,0.0
708,0.96395802434735711,1.0000000000000001e-15,0.0
602,0.85314706980917865,1.0000000000000001e-15,0.0
407,1.160375526375143,1.0000000000000001e-15,0.0
406,0.60154518180225003,1.0000000000000001e-15,0.0
405,1.6275856403814641,1.0000000000000001e-15,0.0
404,1.0466461668032858,1.0000000000000001e-15,0.0
403,1.1905323783312858,1.0000000000000001e-15,0.0
402,1.0344419275971786,1.0000000000000001e-15,0.0
401,0.96333896873657154,1.0000000000000001e-15,0.0
301,0.97925754161803569,1.0000000000000001e-15,0.0
506,0.68184553832250006,1.0000000000000001e-15,0.0
507,1.020380521553393,1.0000000000000001e-15,0.0
504,0.6118922541706785,1.0000000000000001e-15,0.0
505,0.50895214955352863,1.0000000000000001e-15,0.0
502,0.98783588366689279,1.0000000000000001e-15,0.0
503,0.883569231309,1.0000000000000001e-15,0.0
409,0.90214089966982147,1.0000000000000001e-15,0.0
501,0.76241120439707144,1.0000000000000001e-15,0.0
201,1.2562407097150716,1.0000000000000001e-15,0.0
203,0,0,0
202,1.0529251594398927,1.0000000000000001e-15,0.0
205,0,0,0
204,2.1568781886089998,1.0000000000000001e-15,0.0
207,1.5123528600390357,1.0000000000000001e-15,0.0
206,1.456195672382,1.0000000000000001e-15,0.0
208,1.5686869207269643,1.0000000000000001e-15,0.0
302,1.1502937635503927,1.0000000000000001e-15,0.0
303,1.381466816364143,1.0000000000000001e-15,0.0
304,1.0709662087027143,1.0000000000000001e-15,0.0
305,0.54591861323789281,1.0000000000000001e-15,0.0
306,0.38540633670805002,1.0000000000000001e-15,0.0
307,1.0720274468933928,1.0000000000000001e-15,0.0
108,1.3295545814751428,1.0000000000000001e-15,0.0
102,0.53008847687613214,1.0000000000000001e-15,0.0
103,0.4655298201995357,1.0000000000000001e-15,0.0
101,0.079239118331699984,1.0000000000000001e-15,0.0
106,0.73871021810842863,1.0000000000000001e-15,0.0
107,1.3724462917300715,1.0000000000000001e-15,0.0
104,1.0026047818395714,1.0000000000000001e-15,0.0
105,1.0251560934194286,1.0000000000000001e-15,0.0
701,0.87932427854096418,1.0000000000000001e-15,0.0
408,0.9257534494403572,1.0000000000000001e-15,0.0
