PSA,COUNT,RELATIVE
605,0.140020388223633,-1.562399990465503
308,0.29419070615398302,-0.51190255721111855
607,0.084966348598160671,-1.6138835357623644
606,0.070921082671254229,-1.8446202023351979
601,0.23136686226852049,-0.89663663545374683
603,0.57503872326085748,-0.36858068542435662
604,0.70407388403223559,-0.34231158793704475
704,1.0626705393761422,0.33564951037103519
705,0.63069762641185056,0.38313257322270022
706,0.77138559182731326,0.10868757298655857
707,0.19652059504135586,-1.1540254304874018
608,0.39726051176295218,-0.45225143456276118
702,0,0
703,0.22646980672202305,-1.0441523819387337
708,0,0
602,0.47150561790424467,-0.4316656665059686
407,0.21194518193135042,-1.5388360319626786
406,0.17736848791111198,-1.0599369627402861
405,0.81957042354379528,-0.52473740031263261
404,1.3010702241109577,0.37893151383858231
403,0.99945849445600043,-0.013606972098019424
402,0.40533866518458472,-0.77555916793735924
401,0.31370187685925011,-0.96062698022476811
301,0.34827609007360821,-0.87246388248704654
506,0.38392929510075541,-0.41300947655937259
507,1.0178079463912693,0.15881088843072436
504,0.18169103689074068,-1.0529133027732551
505,0.32423696333520824,-0.28954412266199481
502,0.97775285174267446,0.15107561991033264
503,0.42410487831366517,-0.57265360587100933
409,0.49759733699748293,-0.4336442622632623
501,0.40413277399877939,-0.47340731202839692
201,0.20125884376411124,-1.6699518530833701
203,0,0
202,0.16023604047672949,-1.7213441909127085
205,0,0
204,0,0
207,1.3267570747458297,0.030406315470242827
206,0.98898236698056408,-0.22557084383317785
208,1.0255304365946369,-0.26369367140142069
302,1.6844283981441917,0.5427441842874704
303,0.71936948298541648,-0.49119074985920141
304,1.6115015208680339,0.56994039017123121
305,0.29547683430738797,-0.45254420181390964
306,0.10994464259929439,-1.0929859437794556
307,0.37936957710147295,-0.87746081339033455
108,0.82979083710072044,-0.31009033449572404
102,0.081100323079162054,-1.7160217213465578
103,0.11533495510616984,-1.2340003433970805
101,0.0089025862092090777,-2.0247930114393311
106,0.21756394962153885,-1.0610776244903408
107,0.55540199189776185,-0.74332261568074098
104,0.73452179275402529,-0.14980174495166612
105,0.99040183712451579,0.1268458545618166
701,1.0838475447869882,0.37045404749225203
408,0.13662625058346864,-1.7520235820917642
