PSA,COUNT,VARIANCE,RELATIVE
605,0.75438301329614765,0.51092191924782782,-0.039623082356841588
308,1.8569727319477434,0.23721283809142957,1.1692368387273793
607,0.38581003624842236,0.56804934758359726,-0.2621289647055397
606,0.43338602746515503,0.55030421578299649,-0.19589436422786938
601,1.2470309279243026,0.34710879510472092,0.6265442487439028
603,6.5198333924762988,0.12991636990494904,1.8982507685950536
604,8.8952318216764183,0.11553183959071078,2.0327405103411897
704,2.2356991997079181,0.28390411995973874,0.91808315001771246
705,0.85119561295407487,0.37029079002633436,0.52161272365627265
706,1.6662138146034,0.32688240035216709,0.71747309598718034
707,0.67397148586501721,0.5222069909575775,-0.082940125438564272
608,1.4803279580677098,0.3298835596444718,0.7018399705981444
702,0.7599720707296409,0.45086008696833102,0.18710633382135153
703,1.1558012602907772,0.39208506249860098,0.42444983602576325
708,1.4397540571591954,0.39832468096446449,0.40117983388932721
602,1.5173821516308053,0.35668166703092097,0.575809912954516
407,1.5336644229864553,0.42918708517135706,0.27891623718959602
406,0.84793671482130795,0.41586964314020958,0.34330435644914414
405,3.8905374671474164,0.29268786662537249,0.87144959991380155
404,2.8801676752414558,0.26534788165114742,1.0122575878195392
403,9.6959905095033747,0.10905917163584244,2.0973118666918578
402,2.7532472684455134,0.27199812941866441,0.97891895903506232
401,1.4827147152886986,0.39140284382027213,0.43122461131075984
301,1.1380916728098711,0.46255128963162306,0.15031349357491455
506,2.009797766118774,0.25137091475646756,1.0809862333258193
507,3.6335349860068291,0.21784644640450623,1.2700303816897698
504,0.6302557671671597,0.49122718626024886,0.029569504892450665
505,0.80731351371284232,0.38489677810961842,0.46135808225922514
502,3.2871301879674606,0.22952232729330846,1.2022536055051645
503,1.3371347922606316,0.3949161693090717,0.4143147399975422
409,4.9586067672162297,0.15370633821236179,1.7041093706314574
501,1.3143080352949865,0.36391091763728478,0.54457954876360448
201,1.5957627965582677,0.44055965860019142,0.23922816672544092
203,0,0,0
202,2.527664837029326,0.29347971298221043,0.87572373023637085
205,0,0,0
204,4.4922761392001584,0.32290561407984719,0.73369761532407352
207,6.4123880709919296,0.18990987874570053,1.4445651319566983
206,5.1336633397794227,0.22016374771137404,1.2599921745380027
208,3.713339817708047,0.29460687525372031,0.86169277887609452
302,4.7450376378004817,0.19392436686630488,1.4170820078076791
303,2.4733825154169606,0.35600053162864831,0.58244080816433885
304,7.2174518611348253,0.1289483422987876,1.907940722987129
305,0.9312531477347501,0.36775859944527411,0.53406124517540987
306,0.29740554415330317,0.56627499592324892,-0.25920152181659484
307,2.8174972343364657,0.27449281355418931,0.96629731956317155
108,3.1112491015024486,0.29699627603602496,0.85018030091449059
102,0.44114710349683273,0.54651899449502483,-0.18366554227035775
103,0.41141240794824097,0.53085747437092623,-0.12358001817831493
101,0.028282849204422041,0.76913064706679291,-1.0302145094562061
106,0.79120103030976086,0.48178753395425233,0.068646365525091291
107,2.4599705759026986,0.35566784243090477,0.58355462693020033
104,3.039053488070623,0.24652332318262915,1.1089447190545738
105,2.7070692612891922,0.27343150806252092,0.97102170904126395
701,111.37501219390421,0.0078319953107237605,4.8415045270398798
408,0.97384401542269261,0.48783493516574206,0.05064319649041879
