REPORT_DAT,PSA,WARD,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
2114580,104,6,25,10600, 83,16122734,400088,137052,2108700,2114580
2089560,105,6,9,11000, 127,16122565,398747,134091,2078160,2079900
2082420,102,2,8,5800, 129,16122571,398098,136539,2073000,2074500
2079780,104,6,25,8301, 83,16122511,399886,136928,2070000,2070900
2078940,102,2,8,5800, 129,16122546,397919,137069,2076420,2078100
2071380,103,6,8,4702, 1,16122483,398596,137118,2068200,
2063880,104,6,25,8302, 83,16122406,400233,136927,2061300,2063820
2062440,103,6,8,4702, 1,16122387,398596,136988,1605600,1980000
2059440,107,6,26,6600, 89,16122370,400233,135648,1893600,1936800
2057040,103,6,8,4702, 1,16122347,399078,136928,2053140,2054700
2052060,106,6,27,7200, 131,16122327,399622,134352,2048460,2049000
2051820,106,6,26,7100, 91,16122332,401147,134664,1411200,1526400
2049060,107,6,25,8100, 85,16122197,400589,136326,1771200,2037480
2048760,107,6,25,8100, 85,16122246,400638,136400,2041200,2043060
2044140,105,6,9,10200, 142,16122248,398333,135475,2030400,2041200
2043780,101,2,8,5800, 129,16122254,397497,136718,2037600,2040600
2043720,107,6,26,6700, 88,16122195,400930,135440,1992600,2023200
2043540,107,6,26,6900, 91,16122235,400846,135070,2030400,2034000
2035440,107,6,26,6500, 89,16122182,400232,135255,2026740,2026920
2033880,105,6,9,10500, 128,16122178,398682,135190,2026800,2029500
2024160,106,6,27,7200, 131,16122065,400042,134561,2014200,2019900
2018880,103,6,0,6202, 130,16121595,399272,136594,1938600,1958760
2016120,103,6,0,6202, 130,16121672,399272,136594,1922400,1961100
2009520,104,6,25,8402, 82,16122034,400790,136783,2003820,2004600
2005680,101,2,8,10100, 129,16122009,397497.21,137185.88,1999740,2003220
2000760,104,6,25,8410, 82,16121975,400735,136989,1983600,1998900
1993800,102,6,8,4702, 1,16121929,398532,137052,1989000,1989300
1990800,101,2,8,5800, 129,16121882,397430,136664,1983600,1983900
1982940,105,6,9,6400, 127,16121803,399140,134190,1962900,1978200
1982520,108,6,25,8001, 81,16121200,401418,136716,1886400,1886460
1981620,107,6,26,6600, 89,16121746,400233,135528,1872000,1966500
1972980,104,6,25,8302, 84,16121732,400233,136609,1955400,1955520
1972080,107,6,25,8100, 85,16121739,400637,136105,1935000,1963800
1964580,107,6,26,7000, 90,16121601,400638,134906,1956960,1960320
1955880,102,2,8,5800, 129,16121544,398098,136808,1953780,1953900
1955040,104,6,25,10600, 83,16121537,399690,137341,1885500,1927800
1952880,104,6,25,8402, 82,16401486,400637,136696,735900,756000
1951860,104,6,25,10600, 83,16121430,400436,137376,1938780,1941120
1950180,107,6,26,7000, 90,16121496,400232.5,134906.96,1341000,1349100
1946460,103,6,8,4701, 1,16121464,399058,137651,1888200,1933200
1944960,103,6,8,4702, 1,16121437,399078,136928,1941780,1942500
1941300,104,6,25,8402, 82,16121418,400930,136784,1863000,1938840
1933860,103,6,0,6202, 130,16121354,399272,136594,2530020,1929600
1932840,107,6,26,6900, 90,16121348,400734,135195,1914300,1932840
1930740,106,6,27,7200, 131,16121328,399995,134294,1926900,1928100
1915980,107,6,25,8302, 85,16121302,400384,136192,1912260,1912380
1910700,101,2,8,5800, 129,16121270,397921,136842,1906980,
1899360,105,6,9,10200, 142,16121165,398469,134448,1896780,1898220
1894860,105,6,9,6400, 127,16121142,398943,133997,1892400,1893600
1889340,104,6,25,8302, 84,16121078,400384,136784,1800600,1889340
1887900,107,6,26,6600, 89,16121056,400231,135453,1883940,1885200
1886760,108,6,26,6801, 87,16121046,401480,135528,1883280,1883640
1885560,101,2,8,5800, 129,16121051,397430,136664,1882920,1882980
1883760,108,6,26,6801, 87,16120936,401745,135773,1874580,1876620
1882020,101,2,8,5800, 129,16120984,397833,136476,1878840,
1877520,102,2,8,5800, 129,16120946,398098,136808,1868400,1868520
1875300,107,6,26,6500, 89,16120915,400232,135255,1798200,1801800
1873320,105,6,9,6400, 127,16120891,398921,134092,1872000,1872600
1869300,106,6,9,6400, 127,16401476,399211,133853,1722600,1723500
1865220,107,6,25,8001, 81,16401480,400930,136326,1797600,1801200
1862520,106,6,26,7100, 91,16120775,401014,134725,1803600,1839600
1861260,102,2,8,5800, 143,16120766,398315,136884,1832400,1857900
1855500,108,6,26,6801, 87,16120712,401542,135587,1800000,1843200
1854600,105,6,9,10200, 142,16401474,397868.29,135116.46,828000,835200
1853100,104,6,25,8302, 84,16401473,400436,136696,1594500,1619700
1853040,104,6,25,10600, 83,16120700,400489,137318,1807200,1847700
1851480,107,6,26,7000, 90,16120693,400331,135045,1803600,1844400
1835940,105,6,9,6400, 127,16120482,399108,134090,1811160,1812480
1823400,105,6,9,10500, 128,16120576,399144,134605,1791000,1807200
1820520,107,6,26,7000, 90,16120556,400436,135043,1819260,1820520
1819740,102,2,8,5800, 129,16120394,398098,136539,1792800,1803660
1816140,107,6,26,6500, 89,16120521,400232,135255,1813800,1815180
1813860,102,6,8,4702, 1,16120383,398532,137185,1792800,1804080
1813200,108,7,25,6804, 80,16120237,402131,135807,1569600,1576800
1810560,102,2,8,5800, 129,16120466,398098,136808,1805640,1809840
1806000,101,2,8,5800, 129,16120296,397430,136664,1790820,1793220
1803360,104,6,25,8402, 82,16120374,400846,136891,1764000,1798200
1800060,107,6,26,6500, 89,16120371,399949,135013,1766820,1796400
1798680,106,6,26,7000, 90,16120327,400232,134826,1780260,1787400
1777440,104,6,25,8402, 82,16120118,400930,136927,1717200,1771200
1776540,107,6,26,6700, 88,16120110,400686,135528,1771200,1776060
1775580,101,2,8,5800, 129,16120051,397496,136610,1712700,1769940
1772700,104,6,25,8410, 82,16401453,401014,137086,1269000,1269300
1771920,107,6,26,6600, 89,16401452,400042,135711,1432800,1454400
1769160,102,2,8,5800, 129,16120017,397963,136595,897540,1335000
1768620,107,6,26,6500, 89,16120039,400232,135255,1762260,1762380
1765080,106,6,27,7200, 131,16120012,399622,134352,1762200,1764000
1761300,101,2,8,5800, 129,16119969,397700,136611,1699260,1747800
1759260,106,6,27,7200, 131,16119972,399949,134556,1755240,1759200
1751220,107,6,26,7000, 90,16119950,400232,134987,1695600,1747800
1736940,105,6,9,10500, 128,16119909,398750,134411,1729320,1729440
1730940,102,2,8,5900, 143,16119733,398508,136963,1634400,1710000
1722000,101,2,8,5800, 129,16119829,397609,136718,1708200,1717200
1719420,104,6,25,10600, 83,16119780,399886,137052,1713240,1719420
1718160,107,6,26,6600, 89,16119808,400233,135648,1530000,1716600
1717140,104,6,25,8402, 82,16119797,400686,136927,1708560,1711800
1716420,108,6,25,8002, 86,16119794,402062,136090,1648800,1650600
1716360,105,6,9,10200, 142,16119776,398469,134448,1713300,1716300
1715400,101,2,8,5800, 129,16119689,397328,136611,1670400,1705200
1710120,102,2,8,5800, 129,16119600,397964,137002,1674900,1697400
1708860,108,6,25,8002, 86,16119697,401668,136090,149400,158400
1708380,106,6,27,7200, 131,16119629,400186,134410,1696200,1698000
1705320,108,6,26,6900, 91,16119586,401135,135328,1695600,1696440
1703640,107,6,26,6700, 88,16119518,400846,135484,1687500,1691100
1701240,101,2,8,10100, 129,16119561,397329.19,137185.6,1689000,1693440
1700580,101,2,8,5800, 129,16119604,397430,136664,1697820,1697940
1700400,101,2,8,5800, 129,16119579,397654,136665,1692180,1693200
1699200,107,6,26,7000, 90,16119573,400436,135043,1631640,1632000
1696920,104,6,25,8301, 84,16401450,400088,136784,1333800,1345500
1695660,106,6,9,6400, 127,16119531,399211,133853,1691220,1692900
1692540,104,6,25,8302, 83,16119495,400233,136927,1687800,1688400
1692060,107,6,25,8100, 85,16401438,400846,136362,1444500,1456200
1689540,102,6,8,4702, 1,16119470,398315,137185,1612800,1688820
1688340,104,6,25,10600, 83,16119447,400135,137425,1665900,1677000
1684500,102,2,8,5800, 129,16119435,398186,137106,1587600,1625400
1683720,102,6,8,4701, 1,16119415,398477,137319,1679580,1682340
1681920,104,6,25,8402, 82,16118874,401116.19,136855.89,1560000,1580400
1679760,107,6,26,6900, 90,16119388,400638,135092,1591200,1667100
1674720,103,6,8,4702, 1,16119333,398834,137094,1670640,
1654380,104,6,25,10600, 83,16119261,400088,137184,1644900,1645260
1651500,103,6,8,5900, 1,16119187,399029,136400,1598400,1620000
1645320,105,6,9,10500, 128,16119136,398750,134411,1548000,1548060
1629120,108,6,26,6900, 87,16119115,401257,135354,2635200,129600
1626120,104,6,25,8302, 83,16118969,400233,136927,1613220,1615500
1624440,107,6,26,6500, 89,16119070,400232,135255,1621740,1621860
1610040,103,6,8,4702, 1,16118908,399078,136928,1603320,1607580
1604700,106,6,26,7100, 91,16401421,401136,134409,658200,666000
1604280,101,2,8,5800, 129,16118867,397700,136611,1602000,1604280
1594140,105,6,9,10200, 142,16118783,397764,134794,1443600,1573200
1593000,102,2,8,5800, 129,16118401,397919,137069,1267200,1295940
1592160,101,2,8,5800, 129,16401430,397833,136476,1953000,1954800
1591020,102,6,8,4702, 18,16118758,398186,137185,1587720,1590960
1589280,105,6,9,10200, 142,16118729,398469,134448,1583520,1583700
1587900,105,6,9,10200, 142,16401427,397474,135152,518400,579600
1587840,105,6,9,10200, 142,16118728,398469,134448,1580760,1581000
1583400,104,6,25,10600, 83,16401423,400436,137376,1126800,1130400
1580340,105,6,9,6400, 127,16118698,399076,133996,1569600,1571400
1568880,102,2,8,5800, 129,16118584,398054,136884,1355400,1553760
1554060,102,2,8,5800, 129,16118569,398054,136733,1548720,1554060
1539420,104,6,25,8301, 84,16118412,399823,136697,1527420,1536780
1535280,101,2,8,10100, 129,16118423,397302,136928,1512000,1533120
1524360,101,2,8,5800, 129,16118321,397497,136718,1513800,1522800
1520760,107,6,25,8100, 85,16118305,400790,136326,1499400,1517400
1519440,108,6,26,6700, 88,16118290,401178,135602,828240,1519440
1519380,105,6,9,10200, 142,16118294,398469,134448,1516140,1519380
1513980,104,6,25,10600, 83,16118217,400332,137251,1506120,1510380
1513800,104,6,25,10600, 83,16118229,399887,137425,1347000,1507200
1513200,104,6,25,8302, 83,16118253,400233,136927,1510200,1511100
1508100,108,6,26,6700, 88,16118216,401055,135450,1504140,1508100
1499760,107,6,26,6600, 89,16118182,400331,135588,1421040,1499760
1494480,104,6,25,10600, 83,16117008,399695,136697,1337820,1344180
1465260,107,6,26,6500, 89,16117978,400232,135255,1463700,1465200
1463040,105,6,9,10200, 142,16117957,397394,135525,1445400,1450800
1460640,102,2,8,5800, 129,16117927,397920,136540,1456620,1460640
1457100,102,2,8,5800, 143,16117908,397964,136327,1436400,1455300
1453800,108,6,26,6801, 87,16117880,401480,135528,1452000,1452180
