week,PSA,ASSAULT W/DANGEROUS WEAPON
1,308,1
2,301,1
2,302,3
2,303,5
2,304,1
2,307,2
3,302,3
3,303,1
3,304,1
4,302,1
4,303,1
4,305,1
4,306,1
5,302,1
5,304,1
