week,PSA,THEFT/OTHER
1,301,3
1,302,6
1,303,6
1,304,2
1,305,5
1,306,1
1,307,2
1,308,2
2,301,4
2,302,11
2,303,9
2,304,2
2,305,6
2,306,1
2,307,3
3,301,6
3,302,16
3,303,5
3,304,6
3,305,4
3,306,5
3,307,2
3,308,5
4,301,7
4,302,23
4,303,8
4,304,5
4,305,7
4,306,6
4,307,7
4,308,6
5,301,2
5,302,9
5,303,8
5,304,3
5,305,4
5,306,4
5,307,3
5,308,4
