week,PSA,ROBBERY
1,301,1
1,302,1
1,305,1
1,306,2
2,301,1
2,302,1
2,303,1
2,304,1
2,305,2
2,306,1
2,308,3
3,302,2
3,303,1
3,304,1
3,305,3
3,306,2
3,307,1
3,308,2
4,302,1
4,303,2
4,304,1
4,306,1
5,302,1
5,303,1
5,304,1
