week,PSA,BURGLARY
1,302,1
1,303,3
1,304,1
1,307,1
2,303,1
2,304,2
2,306,2
3,303,1
3,304,1
3,306,1
3,307,1
4,301,1
4,302,1
4,303,3
4,304,1
4,306,1
4,307,2
5,301,1
5,303,1
5,307,1
