week,PSA,ASSAULT W/DANGEROUS WEAPON
1,301,1
2,302,1
2,303,3
2,304,2
2,307,1
3,301,1
3,304,1
3,305,1
4,304,2
5,301,2
5,302,1
5,305,1
5,306,1
5,307,1
6,302,2
6,303,1
6,304,3
6,305,1
7,302,1
7,303,2
7,304,1
7,307,1
8,306,1
9,302,1
9,303,1
9,304,2
10,302,1
10,304,1
10,305,1
11,301,3
11,302,4
11,305,1
11,306,1
12,302,4
12,305,2
12,307,1
13,304,1
13,305,1
14,301,1
14,302,1
14,304,1
14,306,1
14,307,1
