week,PSA,BURGLARY
1,308,1
2,302,1
2,305,1
2,306,1
2,307,2
2,308,1
3,305,1
3,307,1
4,301,2
4,302,1
4,304,1
4,307,2
4,308,1
5,302,1
5,303,2
5,304,1
5,305,1
5,307,2
5,308,1
6,301,1
6,302,2
6,303,1
6,304,1
6,307,2
6,308,2
7,301,1
7,303,3
7,304,1
7,305,3
7,307,1
8,301,1
8,302,3
8,303,1
8,305,2
8,307,1
9,302,1
9,305,1
9,307,4
9,308,2
10,301,1
10,302,2
10,303,2
10,305,1
10,308,1
11,302,1
11,303,3
11,305,3
12,301,3
12,303,3
12,305,2
13,302,1
13,303,4
13,305,2
14,301,1
14,303,3
14,305,2
14,307,3
