week,PSA,MOTOR VEHICLE THEFT
1,304,1
1,305,1
1,308,2
2,302,1
2,303,1
2,304,2
2,305,2
2,307,2
3,301,1
3,302,2
3,304,2
4,302,1
4,303,1
4,305,1
4,308,2
5,302,1
5,304,2
5,305,1
5,306,1
5,308,1
6,301,1
6,302,2
7,301,1
7,304,2
8,304,3
8,305,2
9,301,2
9,303,1
9,304,1
9,306,1
10,301,1
10,303,2
10,305,1
11,301,1
11,304,2
11,305,1
11,306,1
11,308,1
12,302,1
12,303,1
12,304,2
12,305,1
12,306,1
12,308,1
13,303,1
13,304,1
13,305,1
13,306,2
13,307,1
13,308,2
